"Tabela 1737 - IPCA - Série histórica com número-índice, variação mensal e variações acumuladas em 3 meses, em 6 meses, no ano e em 12 meses (a partir de dezembro/1979)"
"Mês","","Variável"
"Mês","","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","IPCA - Variação mensal (%)","IPCA - Variação acumulada em 3 meses (%)","IPCA - Variação acumulada em 6 meses (%)","IPCA - Variação acumulada no ano (%)","IPCA - Variação acumulada em 12 meses (%)"
"novembro 1991","Brasil","0.2572875157699","25.21","74.07","151.57","362.94","448.31"
"dezembro 1991","Brasil","0.3182886773263","23.71","86.23","179.90","472.70","472.70"
"janeiro 1992","Brasil","0.4008536605699","25.94","95.08","213.59","25.94","497.32"
"fevereiro 1992","Brasil","0.4983410307284","24.32","93.69","237.16","56.57","515.13"
"março 1992","Brasil","0.6049874674181","21.40","90.08","253.98","90.08","567.21"
"abril 1992","Brasil","0.7255614652283","19.93","81.00","253.10","127.96","662.16"
"maio 1992","Brasil","0.9059361644186","24.86","81.79","252.11","184.63","785.81"
"junho 1992","Brasil","1.0890285720637","20.21","80.01","242.15","242.15","857.68"
"julho 1992","Brasil","1.3267641484791","21.83","82.86","230.98","316.84","937.94"
"agosto 1992","Brasil","1.6205100844213","22.14","78.88","225.18","409.13","996.37"
"setembro 1992","Brasil","2.0196408623306","24.63","85.45","233.83","534.53","1081.70"
"outubro 1992","Brasil","2.5293973801068","25.24","90.64","248.61","694.69","1130.94"
"novembro 1992","Brasil","3.0982598885128","22.49","91.19","242.00","873.41","1104.20"
"dezembro 1992","Brasil","3.8802596550900","25.24","92.13","256.30","1119.10","1119.10"
"janeiro 1993","Brasil","5.0579166458253","30.35","99.97","281.22","30.35","1161.79"
"fevereiro 1993","Brasil","6.3213843084293","24.98","104.03","290.09","62.91","1168.49"
"março 1993","Brasil","8.0445948724789","27.26","107.32","298.32","107.32","1229.71"
"abril 1993","Brasil","10.2769672819025","27.75","103.19","306.30","164.85","1316.42"
"maio 1993","Brasil","13.1226581300609","27.69","107.59","323.55","238.19","1348.52"
"junho 1993","Brasil","17.0686429798089","30.07","112.18","339.88","339.88","1467.33"
"julho 1993","Brasil","22.3121307612362","30.72","117.11","341.13","475.02","1581.70"
"agosto 1993","Brasil","29.6662109364145","32.96","126.07","369.30","664.54","1730.67"
"setembro 1993","Brasil","40.2540807309468","35.69","135.84","400.39","937.41","1893.13"
"outubro 1993","Brasil","53.9082648348533","33.92","141.61","424.55","1289.30","2031.27"
