ANO_MES;NÚMERO_ÍNDICE;NO_MÊS;3_MESES;6_MESES;NO_ANO;12_MESES;Valor Nominal (R$) - Jan/1994;Valor Real (R$) - JAN\2022
NOV\2009;3006,47;0,41;0,93;1,69;3,93;4,22;;
DEZ\2009;3017,59;0,37;1,06;1,7;4,31;4,31;;
JAN\2010;3040,22;0,75;1,54;2,22;0,75;4,59;;
FEV\2010;3063,93;0,78;1,91;2,86;1,54;4,83;;
MAR\2010;3079,86;0,52;2,06;3,15;2,06;5,17;;
ABR\2010;3097,42;0,57;1,88;3,45;2,65;5,26;;
MAI\2010;3110,74;0,43;1,53;3,47;3,09;5,22;;
JUN\2010;3110,74;0,0;1,0;3,09;3,09;4,84;;
JUL\2010;3111,05;0,01;0,44;2,33;3,1;4,6;;
AGO\2010;3112,29;0,04;0,05;1,58;3,14;4,49;;
SET\2010;3126,29;0,45;0,5;1,51;3,6;4,7;;
OUT\2010;3149,74;0,75;1,24;1,69;4,38;5,2;;
NOV\2010;3175,88;0,83;2,04;2,09;5,25;5,63;;
DEZ\2010;3195,89;0,63;2,23;2,74;5,91;5,91;;
JAN\2011;3222,42;0,83;2,31;3,58;0,83;5,99;;
FEV\2011;3248,2;0,8;2,28;4,37;1,64;6,01;;
MAR\2011;3273,86;0,79;2,44;4,72;2,44;6,3;;
ABR\2011;3299,07;0,77;2,38;4,74;3,23;6,51;;
MAI\2011;3314,58;0,47;2,04;4,37;3,71;6,55;;
JUN\2011;3319,55;0,15;1,4;3,87;3,87;6,71;;
JUL\2011;3324,86;0,16;0,78;3,18;4,04;6,87;;
AGO\2011;3337,16;0,37;0,68;2,74;4,42;7,23;;
SET\2011;3354,85;0,53;1,06;2,47;4,97;7,31;;
OUT\2011;3369,28;0,43;1,34;2,13;5,43;6,97;;
NOV\2011;3386,8;0,52;1,49;2,18;5,97;6,64;;
DEZ\2011;3403,73;0,5;1,46;2,54;6,5;6,5;;
JAN\2012;3422,79;0,56;1,59;2,95;0,56;6,22;;
FEV\2012;3438,19;0,45;1,52;3,03;1,01;5,85;;
MAR\2012;3445,41;0,21;1,22;2,7;1,22;5,24;;
ABR\2012;3467,46;0,64;1,31;2,91;1,87;5,1;;
MAI\2012;3479,94;0,36;1,21;2,75;2,24;4,99;;
JUN\2012;3482,72;0,08;1,08;2,32;2,32;4,92;;
JUL\2012;3497,7;0,43;0,87;2,19;2,76;5,2;;
AGO\2012;3512,04;0,41;0,92;2,15;3,18;5,24;;
SET\2012;3532,06;0,57;1,42;2,51;3,77;5,28;;
OUT\2012;3552,9;0,59;1,58;2,46;4,38;5,45;;
NOV\2012;3574,22;0,6;1,77;2,71;5,01;5,53;;
DEZ\2012;3602,46;0,79;1,99;3,44;5,84;5,84;;
JAN\2013;3633,44;0,86;2,27;3,88;0,86;6,15;;
FEV\2013;3655,24;0,6;2,27;4,08;1,47;6,31;;
MAR\2013;3672,42;0,47;1,94;3,97;1,94;6,59;;
ABR\2013;3692,62;0,55;1,63;3,93;2,5;6,49;;
MAI\2013;3706,28;0,37;1,4;3,69;2,88;6,5;;
JUN\2013;3715,92;0,26;1,18;3,15;3,15;6,7;;
JUL\2013;3717,03;0,03;0,66;2,3;3,18;6,27;;
AGO\2013;3725,95;0,24;0,53;1,93;3,43;6,09;;
SET\2013;3738,99;0,35;0,62;1,81;3,79;5,86;;
OUT\2013;3760,3;0,57;1,16;1,83;4,38;5,84;;
NOV\2013;3780,61;0,54;1,47;2,01;4,95;5,77;;
DEZ\2013;3815,39;0,92;2,04;2,68;5,91;5,91;;
JAN\2014;3836,37;0,55;2,02;3,21;0,55;5,59;;
FEV\2014;3862,84;0,69;2,18;3,67;1,24;5,68;;
MAR\2014;3898,38;0,92;2,18;4,26;2,18;6,15;;
ABR\2014;3924,5;0,67;2,3;4,37;2,86;6,28;;
MAI\2014;3942,55;0,46;2,06;4,28;3,33;6,37;;
JUN\2014;3958,32;0,4;1,54;3,75;3,75;6,52;;
JUL\2014;3958,72;0,01;0,87;3,19;3,76;6,5;;
AGO\2014;3968,62;0,25;0,66;2,74;4,02;6,51;;
SET\2014;3991,24;0,57;0,83;2,38;4,61;6,75;;
OUT\2014;4008,0;0,42;1,24;2,13;5,05;6,59;;
NOV\2014;4028,44;0,51;1,51;2,18;5,58;6,56;;
DEZ\2014;4059,86;0,78;1,72;2,57;6,41;6,41;;
JAN\2015;4110,2;1,24;2,55;3,83;1,24;7,14;;
FEV\2015;4160,34;1,22;3,27;4,83;2,48;7,7;;
MAR\2015;4215,26;1,32;3,83;5,61;3,83;8,13;;
ABR\2015;4245,19;0,71;3,28;5,92;4,56;8,17;;
MAI\2015;4276,6;0,74;2,79;6,16;5,34;8,47;;
JUN\2015;4310,39;0,79;2,26;6,17;6,17;8,89;;
JUL\2015;4337,11;0,62;2,17;5,52;6,83;9,56;;
AGO\2015;4346,65;0,22;1,64;4,48;7,06;9,53;;
SET\2015;4370,12;0,54;1,39;3,67;7,64;9,49;;
OUT\2015;4405,95;0,82;1,59;3,79;8,52;9,93;;
NOV\2015;4450,45;1,01;2,39;4,07;9,62;10,48;;
DEZ\2015;4493,17;0,96;2,82;4,24;10,67;10,67;;
JAN\2016;4550,23;1,27;3,27;4,91;1,27;10,71;;
FEV\2016;4591,18;0,9;3,16;5,63;2,18;10,36;;
MAR\2016;4610,92;0,43;2,62;5,51;2,62;9,39;;
ABR\2016;4639,05;0,61;1,95;5,29;3,25;9,28;;
MAI\2016;4675,23;0,78;1,83;5,05;4,05;9,32;;
JUN\2016;4691,59;0,35;1,75;4,42;4,42;8,84;;
JUL\2016;4715,99;0,52;1,66;3,64;4,96;8,74;;
AGO\2016;4736,74;0,44;1,32;3,17;5,42;8,97;;
SET\2016;4740,53;0,08;1,04;2,81;5,51;8,48;;
OUT\2016;4752,86;0,26;0,78;2,45;5,78;7,87;;
NOV\2016;4761,42;0,18;0,52;1,84;5,97;6,99;;
DEZ\2016;4775,7;0,3;0,74;1,79;6,29;6,29;;
JAN\2017;4793,85;0,38;0,86;1,65;0,38;5,35;;
FEV\2017;4809,67;0,33;1,01;1,54;0,71;4,76;;
MAR\2017;4821,69;0,25;0,96;1,71;0,96;4,57;;
ABR\2017;4828,44;0,14;0,72;1,59;1,1;4,08;;
MAI\2017;4843,41;0,31;0,7;1,72;1,42;3,6;;
JUN\2017;4832,27;-0,23;0,22;1,18;1,18;3,0;;
JUL\2017;4843,87;0,24;0,32;1,04;1,43;2,71;;
AGO\2017;4853,07;0,19;0,2;0,9;1,62;2,46;;
SET\2017;4860,83;0,16;0,59;0,81;1,78;2,54;;
OUT\2017;4881,25;0,42;0,77;1,09;2,21;2,7;;
NOV\2017;4894,92;0,28;0,86;1,06;2,5;2,8;;
DEZ\2017;4916,46;0,44;1,14;1,74;2,95;2,95;;
JAN\2018;4930,72;0,29;1,01;1,79;0,29;2,86;;
FEV\2018;4946,5;0,32;1,05;1,93;0,61;2,84;;
MAR\2018;4950,95;0,09;0,7;1,85;0,7;2,68;;
ABR\2018;4961,84;0,22;0,63;1,65;0,92;2,76;;
MAI\2018;4981,69;0,4;0,71;1,77;1,33;2,86;;
JUN\2018;5044,46;1,26;1,89;2,6;2,6;4,39;;
JUL\2018;5061,11;0,33;2,0;2,64;2,94;4,48;;
AGO\2018;5056,56;-0,09;1,5;2,23;2,85;4,19;;
SET\2018;5080,83;0,48;0,72;2,62;3,34;4,53;;
OUT\2018;5103,69;0,45;0,84;2,86;3,81;4,56;;
